"","plot_id","Trees_enumerated","tree_ha","BA_ha","Stem_vol_ha","biomass_ha","carbon_ton_ha"
"1","122-28-1",20,941.666746627047,25.0792791666667,230.943048970908,271.361293763975,127.539808069068
"2","122-28-3",20,261.279364909195,23.7294710069444,252.138024447012,306.489543737066,144.050085556421
"3","122-28-4",20,261.279364909195,26.0630770833333,271.307248259271,321.896994936406,151.291587620111
"4","122-28-6",13,539.57946678794,19.2766654513889,208.779344132586,253.601870779998,119.192879266599
"5","129-26-1",19,450.496908362893,23.8198916666667,214.71996806459,254.755033397306,119.734865696734
"6","129-26-3",26,709.565787951367,28.1204368055556,290.207108601423,348.872326751238,163.969993573082
"7","129-26-4",33,969.518861668129,26.6468300347222,269.28762216006,307.46146122122,144.506886773973
"8","129-26-6",22,886.6256621411,18.1530513888889,144.699895274252,151.751886056097,71.3233864463657
"9","132-24-1",10,181.701893363247,13.3551953125,82.0876243554072,76.1758978864062,35.8026720066109
"10","132-24-3",7,437.676093502712,9.34884375,50.2312980604426,48.9936592108303,23.0270198290902
"11","132-24-4",6,238.732414637843,43.3655375,361.024606561679,366.4800053895,172.245602533065
"12","132-24-6",6,53.9358418255867,12.4870194444444,99.7111145444744,101.948496929677,47.9157935569483
"13","135-23-1",35,584.894415862715,30.17204375,303.189148017894,361.331090260116,169.825612422255
"14","135-23-3",24,401.424134242892,40.7456168402778,350.533429996953,351.80838283277,165.349939931402
"15","135-23-4",17,214.196027577842,21.1802527777778,189.515149602174,222.726302536711,104.681362192254
"16","135-23-6",33,784.722288855873,29.9909949652778,211.908005352808,227.671681442513,107.005690277981
"17","140-23-1",23,316.09940086307,27.0976465277778,238.865795339643,274.067785451604,128.811859162254
"18","140-23-3",26,315.215206734782,37.176978125,330.098986431977,416.107650576948,195.570595771165
"19","140-23-4",17,225.027405649374,24.5533418402778,237.717499766572,276.165386524279,129.797731666411
"20","140-23-6",25,265.479287018564,26.3676819444444,246.612549201851,305.58568152796,143.625270318141
"21","142-22-4",31,1352.15387068489,27.3334529513889,212.335601196221,226.895281050656,106.640782093808
"22","142-22-6",15,1218.19846024922,12.794484375,85.786814658453,99.8473417908557,46.9282506417022
"23","142-22-7",20,631.756704661996,14.3398753472222,110.437690162927,120.30389832015,56.5428322104704
"24","142-22-9",24,573.841989259112,20.287646875,172.546221876143,177.527678779553,83.4380090263901
"25","178-16-1",32,1061.47505101011,37.7089182291667,440.942669867301,528.005077869474,248.162386598653
"26","178-16-3",18,788.259065369026,22.1178892361111,213.093503664266,237.820714952364,111.775736027611
"27","178-16-4",36,1803.97707024022,39.1184520833333,370.550597389072,436.361954404781,205.090118570247
"28","178-16-6",40,1414.26850819715,37.0582402777778,369.873620946518,416.868979226462,195.928420236437
"29","179-16-1",18,209.775056936401,21.7639890625,216.103550269822,188.228473668897,88.4673826243818
"30","179-16-3",32,1086.8956321984,44.1360826388889,441.537960286238,472.406823270291,222.031206937037
"31","179-16-4",17,453.149490747758,28.7061045138889,324.728282091901,357.631457368763,168.086784963319
"32","179-16-6",31,892.593972507046,36.1303331597222,340.741086359841,352.311185857267,165.586257352916
"33","183-15-1",21,1051.08577000273,20.7092576388889,170.731583927952,159.994352269827,75.1973455668186
"34","183-15-3",11,260.837267845051,27.5439105902778,308.618976610566,310.908873934789,146.127170749351
"35","183-15-4",19,653.861557869203,23.0205557291667,202.741288622688,200.896082075205,94.4211585753465
"36","183-15-6",17,702.934331989204,19.0134546875,169.463460462252,162.175682067333,76.2225705716464
"37","185-14-1",23,929.288028831011,32.9443548611111,356.92164044786,440.431046239536,207.002591732582
"38","185-14-3",26,2069.67740579086,33.3444758680556,306.22173995223,360.836714503929,169.593255816847
"39","185-14-4",32,1593.31781917553,27.6961611111111,165.300541909386,190.328395397826,89.4543458369782
"40","185-14-6",25,975.266123502003,32.5217701388889,378.806345385942,471.450986555207,221.581963680947
"41","19-69-1",37,2696.34999421519,28.4391329861111,189.369929593364,218.750293877599,102.812638122471
"42","19-69-3",32,944.540377543985,34.1467227430556,316.278916718824,382.042437739851,179.55994573773
"43","19-69-4",19,575.83142604776,24.0526119791667,211.895684111602,250.676643522809,117.81802245572
"44","19-69-6",25,1620.28574008832,30.5653263888889,244.255262079573,301.757235714959,141.825900786031
"45","34-56-1",2,15.9154943091895,10.58348125,116.308075929507,144.872861083073,68.0902447090442
"46","34-56-3",14,672.871731627402,22.4558428819444,188.885628323622,219.479873930039,103.155540747118
"47","34-56-4",15,340.63578792307,16.1398373263889,148.695618270987,177.743905693694,83.5396356760363
