"","plot_id","Trees_enumerated","trees_ha","BA_ha","stem_volume_cum_ha","total_biomass_ton_ha","total_carbon_ton_ha"
"1","122-28-1",75,596.831036594608,25.1864375,234.517879311843,276.949295040113,130.166168668853
"2","122-28-3",81,644.577519522176,27.29514375,279.013471569523,335.728317397975,157.792309177048
"3","122-28-4",44,350.14087480217,25.78796875,275.610921463998,326.343705683579,153.381541671282
"4","122-28-6",91,724.154991068124,21.70079375,225.109160815777,269.048352917162,126.452725871066
"5","129-26-1",75,596.831036594608,26.01113125,228.901986791042,267.251947029256,125.60841510375
"6","129-26-3",83,660.493013831366,29.92854375,306.628287456302,364.918662332999,171.511771296509
"7","129-26-4",130,1034.50713009732,28.71098125,276.932385297823,315.579826884397,148.322518635667
"8","129-26-6",99,787.816968304882,19.387275,156.817198622076,164.350456061212,77.2447143487694
"9","132-24-1",30,238.732414637843,13.512825,81.1576897054214,75.082382631086,35.2887198366104
"10","132-24-3",43,342.183127647575,10.018025,54.8800616578118,53.5651371087601,25.1756144411172
"11","132-24-4",11,87.5352187005424,43.36665625,362.789905744835,368.205344951666,173.056512127283
"12","132-24-6",11,87.5352187005424,12.41768125,99.255421603048,101.500158562647,47.7050745244442
"13","135-23-1",66,525.211312203255,29.79804375,304.938705888876,363.595807190681,170.89002937962
"14","135-23-3",55,437.676093502712,40.66496875,359.239605695285,360.785652929989,169.569256877095
"15","135-23-4",61,485.422576430281,34.4665,300.341051363282,348.023723755082,163.571150164888
"16","135-23-6",93,740.070485377313,30.269725,226.682142145575,243.581043635059,114.483090508478
"17","140-23-1",42,334.22538049298,26.73223125,237.836676371474,272.783406886833,128.208201236811
"18","140-23-3",52,413.802852038928,38.51621875,342.354319665097,430.190242927083,202.189414175729
"19","140-23-4",42,334.22538049298,26.70569375,249.215406493593,288.226645535013,135.466523401456
"20","140-23-6",65,517.25356504866,29.85630625,275.4636111306,337.043103766371,158.410258770194
"21","142-22-4",116,923.098669932993,17.4953125,127.795428690315,139.57002112284,65.5979099277347
"22","142-22-6",74,588.873289440013,11.2545625,85.1706160639587,98.3965563088654,46.2463814651667
"23","142-22-7",94,748.028232531908,14.36469375,103.292546524919,112.202993817985,52.7354070944527
"24","142-22-9",79,628.662025212987,20.75471875,177.08683086551,183.292570544388,86.1475081558624
"25","178-16-1",133,1058.3803715611,37.233425,434.567975295627,522.141119891143,245.406326348837
"26","178-16-3",119,946.971911396777,23.1615125,228.423162558964,252.407562304731,118.631554283223
"27","178-16-4",182,1448.30998213625,32.04160625,316.182724294907,378.046036814822,177.681637302966
"28","178-16-6",198,1575.63393660976,33.3597,325.141995949904,369.428000751811,173.631160353351
"29","179-16-1",63,501.33807073947,23.4377625,228.772754347471,204.888442773045,96.2975681033312
"30","179-16-3",78,620.704278058392,37.54955,388.213073164402,411.064644186295,193.200382767559
"31","179-16-4",81,644.577519522176,32.441675,346.47177940211,377.972017291859,177.646848127174
"32","179-16-6",81,644.577519522176,32.988575,321.6619642348,334.224883497171,157.08569524367
"33","183-15-1",120,954.929658551372,22.1048,185.275133512116,168.084179567718,78.9995643968276
"34","183-15-3",49,389.929610575144,28.24971875,309.146235747062,309.216523031251,145.331765824688
"35","183-15-4",78,620.704278058392,22.77523125,206.34957209074,201.842100897771,94.8657874219524
"36","183-15-6",74,588.873289440013,18.1089375,165.193073839441,158.756134599848,74.6153832619286
"37","185-14-1",93,740.070485377313,33.3542625,363.424066250272,446.545520410815,209.876394593083
"38","185-14-3",142,1130.00009595246,30.65855625,299.631100274745,356.913344202421,167.749271775138
"39","185-14-4",115,915.140922778398,20.98709375,152.801724562429,177.874892098462,83.601199286277
"40","185-14-6",83,660.493013831366,33.63125,396.734662809538,491.253906894094,230.889336240224
"41","19-69-1",238,1893.94382279355,26.63605,182.959173716115,211.080492637714,99.2078315397255
"42","19-69-3",127,1010.63388863354,33.552175,300.928148082547,364.685385278653,171.402131080967
"43","19-69-4",180,1432.39448782706,29.02158125,234.568926768886,275.581518247086,129.523313576131
"44","19-69-6",87,692.324002449745,28.54325625,248.984751250656,306.350253667941,143.984619223932
"45","34-56-1",15,119.366207318921,11.4093125,119.03029489272,147.640358591359,69.3909685379385
"46","34-56-3",94,748.028232531908,24.45555,201.262890390988,232.234006972535,109.149983277092
"47","34-56-4",93,740.070485377313,19.114525,168.6227095775,196.947788899152,92.5654607826012
"48","34-56-6",120,954.929658551372,20.40465,181.301572356648,216.116820536887,101.574905652337
"49","41-53-1",49,389.929610575144,11.237975,71.7314576527276,76.0502428706217,35.7436141491922
"50","41-53-3",40,318.309886183791,20.26814375,195.455416905132,235.067395891357,110.481676068938
"51","41-53-4",61,485.422576430281,12.416825,69.6634918715084,78.1475432605386,36.7293453324531
"52","41-53-6",52,413.802852038928,21.24185,205.728346117108,253.648662579053,119.214871412155
"53","74-39-1",23,183.02818455568,7.630525,43.5934886709252,57.6744087927666,27.1069721326003
"54","74-39-3",37,294.436644720006,17.62210625,138.026317650242,167.340400918941,78.6499884319021
"55","74-39-4",16,127.323954473516,17.91519375,149.490560193529,183.493713146548,86.2420451788777
"56","74-39-6",54,429.718346348117,16.13101875,143.164968080183,167.56681302243,78.7564021205419
"57","85-40-1",94,748.028232531908,28.0684515625,287.367809382926,320.853193495222,150.801000942754
"58","85-40-3",62,493.380323584876,26.67029375,283.30924807691,323.669543814899,152.124685593002
"59","85-40-4",132,1050.42262440651,31.85654375,287.597725722471,316.974280122586,148.977911657615
"60","85-40-6",118,939.014164242182,27.4189875,267.521308798805,293.622797195094,138.002714681694
"61","9-76-1",68,541.126806512444,18.719825,157.215837824821,196.292572411103,92.2575090332183
"62","9-76-3",27,214.859173174059,20.08151875,219.724432803838,275.454639604032,129.463680613895
"63","9-76-4",106,843.521198387045,24.9255,280.381633235025,358.08124395474,168.298184658728
"64","9-76-6",275,2188.38046751356,28.8563625,312.374037753124,392.57657535145,184.510990415182
